vassar_qp22 16 3.33333 0.998806 1004400 248400 334800 223200 97200
vassar_qp27 16 3.33333 0.998777 1004400 248400 334800 223200 97200
vassar_qp32 16 3.33333 0.998712 1004400 248400 334800 223200 97200
vassar_qp37 16 3.33333 0.998638 1004400 248400 334800 223200 97200
vassar_qp22 32 3.33333 0.843976 2064605 620843 558000 334800 162000
vassar_qp27 32 3.33333 0.840506 2051077 613826 558000 334800 162000
vassar_qp32 32 3.33333 0.833736 2026774 596144 558000 334800 162000
vassar_qp37 32 3.33333 0.824981 1999725 575578 558000 334800 162000
vassar_qp22 64 3.33333 0.713281 3657614 1617150 1004400 558000 291600
vassar_qp27 64 3.33333 0.707743 3569831 1572141 1004400 558000 291600
vassar_qp32 64 3.33333 0.699434 3391718 1451542 1004400 558000 291600
vassar_qp37 64 3.33333 0.685602 3221459 1322217 1004400 558000 291600
vassar_qp22 96 3.33333 0.673778 5043428 2593182 1450800 781200 421200
vassar_qp27 96 3.33333 0.668426 4857179 2499360 1450800 781200 421200
vassar_qp32 96 3.33333 0.658986 4495546 2256503 1450800 781200 421200
vassar_qp37 96 3.33333 0.649308 4160517 2003699 1450800 781200 421200
vassar_qp22 128 3.33333 0.552998 5047318 2597007 1897200 1004400 550800
vassar_qp27 128 3.33333 0.552621 4871864 2513677 1897200 1004400 550800
vassar_qp32 128 3.33333 0.548055 4506493 2266989 1897200 1004400 550800
vassar_qp37 128 3.33333 0.540511 4166215 2009354 1897200 1004400 550800
crowd_qp22 16 3.33333 0.999079 1004400 248400 334800 223200 97200
crowd_qp27 16 3.33333 0.999068 1004400 248400 334800 223200 97200
crowd_qp32 16 3.33333 0.99905 1004400 248400 334800 223200 97200
crowd_qp37 16 3.33333 0.999022 1004400 248400 334800 223200 97200
crowd_qp22 32 3.33333 0.917187 2355986 669027 558000 334800 162000
crowd_qp27 32 3.33333 0.915723 2347465 667715 558000 334800 162000
crowd_qp32 32 3.33333 0.913342 2328733 663585 558000 334800 162000
crowd_qp37 32 3.33333 0.907084 2299622 658379 558000 334800 162000
crowd_qp22 64 3.33333 0.762737 4377714 1798463 1004400 558000 291600
crowd_qp27 64 3.33333 0.761881 4353057 1792430 1004400 558000 291600
crowd_qp32 64 3.33333 0.760625 4301415 1774458 1004400 558000 291600
crowd_qp37 64 3.33333 0.756954 4214556 1749073 1004400 558000 291600
crowd_qp22 96 3.33333 0.657298 5846183 2835311 1450800 781200 421200
crowd_qp27 96 3.33333 0.658141 5815974 2824052 1450800 781200 421200
crowd_qp32 96 3.33333 0.659037 5761335 2802448 1450800 781200 421200
crowd_qp37 96 3.33333 0.657265 5647084 2761395 1450800 781200 421200
crowd_qp22 128 3.33333 0.565619 5893994 2882431 1897200 1004400 550800
crowd_qp27 128 3.33333 0.562969 5861399 2868407 1897200 1004400 550800
crowd_qp32 128 3.33333 0.563804 5807333 2847347 1897200 1004400 550800
crowd_qp37 128 3.33333 0.564553 5691801 2804055 1897200 1004400 550800
lovebird1_qp22 16 3.33333 0.998748 2571264 635904 857088 571392 248832
lovebird1_qp27 16 3.33333 0.998738 2571264 635904 857088 571392 248832
lovebird1_qp32 16 3.33333 0.998706 2571264 635904 857088 571392 248832
lovebird1_qp37 16 3.33333 0.998619 2571264 635904 857088 571392 248832
lovebird1_qp22 32 3.33333 0.839323 5265885 1568847 1428480 857088 414720
